"cell_id","scenario_id","scenario_order","scenario_label","short_label","purpose","in_main_text","n","h","is_null","reps","alpha","atom","seed","effect_text","pi0","pi1","expected_combined_delta","empirical_combined_delta","empirical_combined_delta_sd","method","reject_rate","mcse","fail_rate","median_runtime_sec","successful_reps","method_label"
4,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,200,0,TRUE,10000,0.05,0,20260419,"$\\delta = 0.00$",0.85,0.85,0,0.000490653697519968,0.141926956935886,"splrt",0.0565,0.00230884711490389,0,0.268000000000029,10000,"Semi-parametric LRT"
5,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,250,0,TRUE,10000,0.05,0,20260420,"$\\delta = 0.00$",0.85,0.85,0,-0.000111439931333359,0.12716165481281,"wilcoxon",0.0525,0.00223033069296909,0,0.0029999999999859,10000,"Wilcoxon"
5,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,250,0,TRUE,10000,0.05,0,20260420,"$\\delta = 0.00$",0.85,0.85,0,-0.000111439931333359,0.12716165481281,"t_test",0.0525,0.00223033069296909,0,0.0010000000000332,10000,"T-test"
5,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,250,0,TRUE,10000,0.05,0,20260420,"$\\delta = 0.00$",0.85,0.85,0,-0.000111439931333359,0.12716165481281,"lrt",0.0492,0.00216285367050108,0,0.0080000000000382,10000,"Parametric LRT"
5,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,250,0,TRUE,10000,0.05,0,20260420,"$\\delta = 0.00$",0.85,0.85,0,-0.000111439931333359,0.12716165481281,"splrt",0.0493,0.00216493671962947,0,0.280999999999949,10000,"Semi-parametric LRT"
6,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,300,0,TRUE,10000,0.05,0,20260421,"$\\delta = 0.00$",0.85,0.85,0,7.88212076199178e-05,0.115616869966771,"wilcoxon",0.0518,0.00221623013245466,0,0.00300000000015643,10000,"Wilcoxon"
6,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,300,0,TRUE,10000,0.05,0,20260421,"$\\delta = 0.00$",0.85,0.85,0,7.88212076199178e-05,0.115616869966771,"t_test",0.0529,0.00223833844625874,0,0.00100000000020373,10000,"T-test"
6,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,300,0,TRUE,10000,0.05,0,20260421,"$\\delta = 0.00$",0.85,0.85,0,7.88212076199178e-05,0.115616869966771,"lrt",0.0511,0.0022020170299069,0,0.00900000000001455,10000,"Parametric LRT"
6,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,300,0,TRUE,10000,0.05,0,20260421,"$\\delta = 0.00$",0.85,0.85,0,7.88212076199178e-05,0.115616869966771,"splrt",0.051,0.00219997727260988,0,0.291000000000167,10000,"Semi-parametric LRT"
7,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,350,0,TRUE,10000,0.05,0,20260422,"$\\delta = 0.00$",0.85,0.85,0,0.000862602540467805,0.106541440862496,"wilcoxon",0.0487,0.00215240121724552,0,0.0040000000000191,10000,"Wilcoxon"
7,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,350,0,TRUE,10000,0.05,0,20260422,"$\\delta = 0.00$",0.85,0.85,0,0.000862602540467805,0.106541440862496,"t_test",0.0477,0.00213130734526956,0,0.00199999999995271,10000,"T-test"
7,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,350,0,TRUE,10000,0.05,0,20260422,"$\\delta = 0.00$",0.85,0.85,0,0.000862602540467805,0.106541440862496,"lrt",0.0497,0.00217324434889407,0,0.00900000000001455,10000,"Parametric LRT"
7,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,350,0,TRUE,10000,0.05,0,20260422,"$\\delta = 0.00$",0.85,0.85,0,0.000862602540467805,0.106541440862496,"splrt",0.0497,0.00217324434889407,0,0.311000000000149,10000,"Semi-parametric LRT"
8,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,400,0,TRUE,10000,0.05,0,20260423,"$\\delta = 0.00$",0.85,0.85,0,-0.00174479780622196,0.100147685625088,"wilcoxon",0.0483,0.00214399416976819,0,0.00399999999996226,10000,"Wilcoxon"
8,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,400,0,TRUE,10000,0.05,0,20260423,"$\\delta = 0.00$",0.85,0.85,0,-0.00174479780622196,0.100147685625088,"t_test",0.049,0.0021586801523153,0,0.00199999999995271,10000,"T-test"
8,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,400,0,TRUE,10000,0.05,0,20260423,"$\\delta = 0.00$",0.85,0.85,0,-0.00174479780622196,0.100147685625088,"lrt",0.0521,0.00222228688517032,0,0.00900000000001455,10000,"Parametric LRT"
8,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,400,0,TRUE,10000,0.05,0,20260423,"$\\delta = 0.00$",0.85,0.85,0,-0.00174479780622196,0.100147685625088,"splrt",0.0521,0.00222228688517032,0,0.317000000000007,10000,"Semi-parametric LRT"
9,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,450,0,TRUE,10000,0.05,0,20260424,"$\\delta = 0.00$",0.85,0.85,0,-0.000543697340047799,0.0951106388939663,"wilcoxon",0.0508,0.00219589070766284,0,0.00400000000036016,10000,"Wilcoxon"
9,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,450,0,TRUE,10000,0.05,0,20260424,"$\\delta = 0.00$",0.85,0.85,0,-0.000543697340047799,0.0951106388939663,"t_test",0.0531,0.0022423289232403,0,0.00199999999995271,10000,"T-test"
9,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,450,0,TRUE,10000,0.05,0,20260424,"$\\delta = 0.00$",0.85,0.85,0,-0.000543697340047799,0.0951106388939663,"lrt",0.0516,0.00221218082443547,0,0.00999999999999091,10000,"Parametric LRT"
9,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,450,0,TRUE,10000,0.05,0,20260424,"$\\delta = 0.00$",0.85,0.85,0,-0.000543697340047799,0.0951106388939663,"splrt",0.0515,0.00221015270965605,0,0.33400000000006,10000,"Semi-parametric LRT"
10,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,500,0,TRUE,10000,0.05,0,20260425,"$\\delta = 0.00$",0.85,0.85,0,0.000785855006199039,0.0900895986169065,"wilcoxon",0.0498,0.00217531514958178,0,0.00499999999999545,10000,"Wilcoxon"
10,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,500,0,TRUE,10000,0.05,0,20260425,"$\\delta = 0.00$",0.85,0.85,0,0.000785855006199039,0.0900895986169065,"t_test",0.0486,0.00215030323442997,0,0.00199999999995271,10000,"T-test"
10,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,500,0,TRUE,10000,0.05,0,20260425,"$\\delta = 0.00$",0.85,0.85,0,0.000785855006199039,0.0900895986169065,"lrt",0.0519,0.00221825133832936,0,0.0109999999999673,10000,"Parametric LRT"
10,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,500,0,TRUE,10000,0.05,0,20260425,"$\\delta = 0.00$",0.85,0.85,0,0.000785855006199039,0.0900895986169065,"splrt",0.0521,0.00222228688517032,0,0.343999999999994,10000,"Semi-parametric LRT"
11,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,50,1,FALSE,10000,0.05,0,20260426,"$\\delta = 0.20$",0.85,0.85,0.17,0.164865063494382,0.28983561062531,"wilcoxon",0.107,0.00309113247855863,0,0.00199999999995271,10000,"Wilcoxon"
11,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,50,1,FALSE,10000,0.05,0,20260426,"$\\delta = 0.20$",0.85,0.85,0.17,0.164865063494382,0.28983561062531,"t_test",0.0887,0.00284310235482298,0,0.000999999999976353,10000,"T-test"
11,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,50,1,FALSE,10000,0.05,0,20260426,"$\\delta = 0.20$",0.85,0.85,0.17,0.164865063494382,0.28983561062531,"lrt",0.1249,0.00330605489972565,0,0.00700000000006185,10000,"Parametric LRT"
11,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,50,1,FALSE,10000,0.05,0,20260426,"$\\delta = 0.20$",0.85,0.85,0.17,0.164865063494382,0.28983561062531,"splrt",0.1237,0.0032923898614836,0,0.225999999999999,10000,"Semi-parametric LRT"
12,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,100,1,FALSE,10000,0.05,0,20260427,"$\\delta = 0.20$",0.85,0.85,0.17,0.170814314073797,0.201127095775694,"wilcoxon",0.1625,0.00368908864084343,0,0.00199999999995271,10000,"Wilcoxon"
12,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,100,1,FALSE,10000,0.05,0,20260427,"$\\delta = 0.20$",0.85,0.85,0.17,0.170814314073797,0.201127095775694,"t_test",0.1283,0.00334423548811982,0,0.000999999999976353,10000,"T-test"
12,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,100,1,FALSE,10000,0.05,0,20260427,"$\\delta = 0.20$",0.85,0.85,0.17,0.170814314073797,0.201127095775694,"lrt",0.196,0.00396968512605219,0,0.00700000000006185,10000,"Parametric LRT"
12,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,100,1,FALSE,10000,0.05,0,20260427,"$\\delta = 0.20$",0.85,0.85,0.17,0.170814314073797,0.201127095775694,"splrt",0.1962,0.00397121593469809,0,0.235999999999876,10000,"Semi-parametric LRT"
13,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,150,1,FALSE,10000,0.05,0,20260428,"$\\delta = 0.20$",0.85,0.85,0.17,0.170861039789218,0.164866362539534,"wilcoxon",0.2282,0.00419672205417514,0,0.00199999999995271,10000,"Wilcoxon"
13,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,150,1,FALSE,10000,0.05,0,20260428,"$\\delta = 0.20$",0.85,0.85,0.17,0.170861039789218,0.164866362539534,"t_test",0.1765,0.00381244999967213,0,0.000999999999976353,10000,"T-test"
13,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,150,1,FALSE,10000,0.05,0,20260428,"$\\delta = 0.20$",0.85,0.85,0.17,0.170861039789218,0.164866362539534,"lrt",0.2849,0.00451366802057927,0,0.00700000000006185,10000,"Parametric LRT"
13,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,150,1,FALSE,10000,0.05,0,20260428,"$\\delta = 0.20$",0.85,0.85,0.17,0.170861039789218,0.164866362539534,"splrt",0.2854,0.00451604738681958,0,0.252999999999929,10000,"Semi-parametric LRT"
14,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,200,1,FALSE,10000,0.05,0,20260429,"$\\delta = 0.20$",0.85,0.85,0.17,0.170229509314102,0.145232866766004,"wilcoxon",0.2959,0.0045644626189728,0,0.00299999999992906,10000,"Wilcoxon"
14,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,200,1,FALSE,10000,0.05,0,20260429,"$\\delta = 0.20$",0.85,0.85,0.17,0.170229509314102,0.145232866766004,"t_test",0.2223,0.00415791666583158,0,0.000999999999997669,10000,"T-test"
14,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,200,1,FALSE,10000,0.05,0,20260429,"$\\delta = 0.20$",0.85,0.85,0.17,0.170229509314102,0.145232866766004,"lrt",0.3683,0.00482343352810008,0,0.00800000000000978,10000,"Parametric LRT"
14,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,200,1,FALSE,10000,0.05,0,20260429,"$\\delta = 0.20$",0.85,0.85,0.17,0.170229509314102,0.145232866766004,"splrt",0.3696,0.00482696426338543,0,0.268000000000029,10000,"Semi-parametric LRT"
15,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,250,1,FALSE,10000,0.05,0,20260430,"$\\delta = 0.20$",0.85,0.85,0.17,0.169317547693054,0.128346816267413,"wilcoxon",0.3479,0.00476304094040771,0,0.0029999999999859,10000,"Wilcoxon"
15,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,250,1,FALSE,10000,0.05,0,20260430,"$\\delta = 0.20$",0.85,0.85,0.17,0.169317547693054,0.128346816267413,"t_test",0.2597,0.00438469964763836,0,0.00100000000009004,10000,"T-test"
15,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,250,1,FALSE,10000,0.05,0,20260430,"$\\delta = 0.20$",0.85,0.85,0.17,0.169317547693054,0.128346816267413,"lrt",0.4379,0.00496128602279691,0,0.0080000000000382,10000,"Parametric LRT"
15,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,250,1,FALSE,10000,0.05,0,20260430,"$\\delta = 0.20$",0.85,0.85,0.17,0.169317547693054,0.128346816267413,"splrt",0.4386,0.0049621571921897,0,0.279999999999745,10000,"Semi-parametric LRT"
16,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,300,1,FALSE,10000,0.05,0,20260431,"$\\delta = 0.20$",0.85,0.85,0.17,0.170173002891505,0.11795756664458,"wilcoxon",0.4067,0.00491217986234218,0,0.00399999999990541,10000,"Wilcoxon"
16,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,300,1,FALSE,10000,0.05,0,20260431,"$\\delta = 0.20$",0.85,0.85,0.17,0.170173002891505,0.11795756664458,"t_test",0.3031,0.00459598074408499,0,0.00199999999995271,10000,"T-test"
16,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,300,1,FALSE,10000,0.05,0,20260431,"$\\delta = 0.20$",0.85,0.85,0.17,0.170173002891505,0.11795756664458,"lrt",0.5056,0.00499968639016489,0,0.00900000000001455,10000,"Parametric LRT"
16,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,300,1,FALSE,10000,0.05,0,20260431,"$\\delta = 0.20$",0.85,0.85,0.17,0.170173002891505,0.11795756664458,"splrt",0.505,0.00499974999374969,0,0.298000000000002,10000,"Semi-parametric LRT"
17,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,350,1,FALSE,10000,0.05,0,20260432,"$\\delta = 0.20$",0.85,0.85,0.17,0.170489237724083,0.109046522842721,"wilcoxon",0.4648,0.00498759420963655,0,0.00399999999990541,10000,"Wilcoxon"
17,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,350,1,FALSE,10000,0.05,0,20260432,"$\\delta = 0.20$",0.85,0.85,0.17,0.170489237724083,0.109046522842721,"t_test",0.3471,0.00476047886246751,0,0.00199999999995271,10000,"T-test"
17,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,350,1,FALSE,10000,0.05,0,20260432,"$\\delta = 0.20$",0.85,0.85,0.17,0.170489237724083,0.109046522842721,"lrt",0.5872,0.00492337445254776,0,0.00900000000001455,10000,"Parametric LRT"
17,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,350,1,FALSE,10000,0.05,0,20260432,"$\\delta = 0.20$",0.85,0.85,0.17,0.170489237724083,0.109046522842721,"splrt",0.5873,0.00492319723350589,0,0.30600000000004,10000,"Semi-parametric LRT"
